Genus	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
Rhodoferax	56.8259722570657	60.7039323667328	73.3218295804633	299.641190261441	215.991846269084	367.896623671662	302.850668665474	216.459861182464	731.254890401702	25.4217039792865	25.0107275954785	169.705197773692	312.141913415589	142.073299565294	26.9865067205872	264.5817633451	102.776890382026	45.9883188505969	150.87910575601	202.829907254235	365.05315861098	506.444986569732	493.311529299473	279.48669093732	56.3488044559566	27.3113752622463	33.5742988563611	0	10.3756790397499	58.1030685030459	154.109524089476	440.699621617047	43.5090121042335	3.25869917100563	83.3234781835775	71.4171539797505
Sulfuritalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104.682349845235	0	0	22.0798691350259	1.15244265485361	0	0	0	0	7.68392788035772	0	0	0	0	0	26.8016563633871	7.30441361796211	0	0	0	650.193672690645
Undibacterium	0	10.9783707471751	0	0	3.72399734946696	0	0	0	0	0	0	0	0	0	0	42.5631532337769	8.56474086516884	27.5929913103582	69.9195855942486	0	5.08430583023649	6.41972518186984	0	0	5.76294591026829	0	7.46095530141357	4.49775112009787	0	0	5.02531056813508	0	0	7.33207313476266	0	8.92714424746882
Acidibacter	1261.13780535418	805.941570145558	1512.60218801178	825.309299128397	781.108444050695	1635.58860403426	4156.90584471943	2394.00906299238	2940.99080726301	1257.52695684204	1955.83889796642	1036.24458752316	319.880969120108	799.036358548069	2830.46937796313	158.74905800706	247.153950680587	173.605903661003	225.70532893582	276.586237164865	132.191951586149	204.004600223864	102.289596516508	68.1415170285276	1757.69850263183	3449.76808781248	1442.29592170451	6239.8800539491	5427.96237765203	3745.71114949636	4299.99074280091	4623.69382017002	2143.87148352312	589.009875159267	882.187325268626	511.822936854879
Peredibacter	68.7893348375005	57.4749997940342	70.6062062626684	106.792534937468	57.7219589167379	87.7632909481796	79.6385091675875	55.5025285083242	23.9568684842991	51.6907980912158	110.761793637119	30.338359378537	40.4150686791534	66.5023955412012	15.5691384926465	78.2241735107251	96.6592183354769	48.2877347931268	45.3863976664421	25.3537384067793	35.5901408116555	76.3233993844525	47.1547785359791	50.041426567825	59.5504410727723	31.5787776469722	47.0972803401732	19.4902548537574	22.2335979423212	11.6206137006092	55.2784162494858	62.087515752678	54.035386000419	16.2934958550281	51.0356303874412	23.8057179932502
Emticicia	24.9236720425727	10.3325842326354	28.5140448368468	17.62595236832	26.9989807836355	27.481434539329	38.1367508689856	20.3509271197189	35.3649010958701	66.0964303461448	18.5793976423555	7.58458984463426	43.8546489922728	38.2892580388734	14.53119592647	295.641361650829	143.153525889251	179.354443517328	65.0129480086873	65.6892313266555	111.854728265203	73.4701881925104	98.6623058598946	72.4003618428106	14.7275284373523	19.6300509697395	15.3882203091655	19.4902548537574	10.3756790397499	15.4941516008122	23.4514493179637	15.8262295055846	30.1756051690652	30.1429673318021	68.221097762804	22.317860618672
Haloplasma	0	6.4578651453971	4.07343497669241	0	0	0	3.36500742961637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.39892911901504	0	0	0	0	3.65220680898106	2.80703303898281	0	1.04154347729472	5.95142949831254
Thermoactinomyces	4.98473440851453	0	6.78905829448734	0	0	0	0	0	0	3.38956053057153	0	0	0	4.03044821461826	0	0	0	0	0	0	0	0	0	0	0	0	3.26416794436844	0	0	0	0	0	0	1.62934958550281	0	0
SM1A02	104.679422578805	164.029774693086	110.661650200144	125.455308033337	244.852825727453	100.174261385296	65.0568103059166	40.7018542394378	122.06594894381	100.839425784503	34.3004264166563	91.9631518661904	159.940484560054	38.2892580388734	243.916503051461	40.2624422481673	89.3180118796179	80.4795579885446	159.465721530742	63.3843460169483	140.326840914527	165.486249132645	62.3893992937569	34.0707585142638	222.193581207011	228.732767821312	182.327095178294	283.358320566166	91.8988714949278	75.5339890539596	246.240217838619	224.002017617505	254.036490027944	209.371421737112	485.359260419339	482.065789363316
Urania-1B-19 marine sediment group	11.9633625804349	0	0	0	0	0	0	0	11.408032611571	0	0	0	0	0	4.15177026470572	0	0	4.59883188505969	0	0	0	0	0	0	0	0	0	7.49625186682978	0	15.4941516008122	0	10.9566204269432	0	0	0	0
I-8	2.99084064510872	0	0	2.07364145509647	0	0	0	7.40033713444323	0	0	0	0	21.4973769569965	0	5.18971283088215	0	3.6706032279295	5.74853985632462	6.13329698195163	44.9452635392906	44.7418913060811	75.610096586467	145.091626264551	97.4210751267231	3.84196394017886	0	2.79785823803009	7.49625186682978	0	0	103.856418408125	0	4.21054955847421	4.88804875650844	0	5.95142949831254
Chloronema	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.42660559597108	0	1.06471120357074	0	0	0	0	0	0	0	0	0	0	0	0
Herpetosiphon	0	0	0	0	0	1.7729957767309	0	0	0	4.23695066321441	2.14377665104102	3.79229492231713	0	3.02283616096369	0	13.8042659136574	0	0	0	0	0	2.85321119194215	0	19.1648016642734	0	0	0	0	0	11.6206137006092	0	0	0	0	0	0
Candidatus Chloroploca	0	0	0	5.18410363774119	0	1.7729957767309	5.60834571602729	0	5.70401630578551	7.62651119378594	9.28969882117774	0	5.15937046967916	7.05328437558195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.80703303898281	0	0	0
Oscillochloris	0	0	0	0	0	0	0	0	0	9.3212914590717	0	0	46.4343342271124	0	0	9.20284394243825	26.9177570048164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFCH7168	10.966415698732	0	10.183587441731	0	0	0	10.0950222888491	0	0	7.62651119378594	0	0	24.9369572701159	0	5.18971283088215	2.30071098560956	14.682412911718	9.19766377011939	12.2665939639033	9.21954123882885	0	4.27981678791322	5.80366505058204	1.59706680535612	28.1744022279783	2.56044143083559	1.39892911901504	5.99700149346382	0	0	0	0	11.2281321559312	17.922845440531	0	16.3664311203595
Nitrolancea	0	0	0	0	0	0	0	0	0	21.184753316072	0	0	0	0	0	6.90213295682869	0	0	2.45331879278065	11.5244265485361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphaerobacter	12.9603094621378	5.16629211631768	15.6148340773209	6.22092436528942	5.58599602420044	7.0919831069236	19.0683754344928	9.25042141805404	15.9712456561994	5.93173092850017	9.28969882117774	4.74036865289641	0	3.02283616096369	8.30354052941144	0	0	0	0	0	0	0	0	0	1.28065464672629	0	2.33154853169174	4.49775112009787	13.3401587653927	0	5.02531056813508	4.86960907864141	0	4.07337396375704	0	8.92714424746882
