Genus	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	28	29	30	31	32	33	34	35	36	27
Rhodoferax	0.0551	0.06256	0.07054	0.2883	0.2226	0.40548	0.2292	0.23705	0.67525	0.02275	0.02169	0.19051	0.28676	0.15289	0.02452	0.22989	0.07684	0.03939	0.09298	0.13434	0.31472	0.54021	0.5984	0.33446	0.04521	0.02528	0	0.00926	0.04671	0.10979	0.38045	0.03712	0.00265	0.06993	0.05461	0.03148
Sulfuritalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09094	0	0	0.01361	0.00076	0	0	0	0	0.00616	0	0	0	0	0.0191	0.00631	0	0	0	0.49717	0
Undibacterium	0	0.01131	0	0	0.00384	0	0	0	0	0	0	0	0	0	0	0.03698	0.0064	0.02363	0.04309	0	0.00438	0.00684	0	0	0.00462	0	0.00326	0	0	0.00358	0	0	0.00596	0	0.00683	0.007
Acidibacter	1.2229	0.83063	1.45513	0.7941	0.80501	1.80267	3.14598	2.62166	2.71572	1.12528	1.69568	1.1633	0.29385	0.85985	2.57227	0.13793	0.18481	0.14873	0.1391	0.18319	0.11394	0.21761	0.12408	0.08156	1.41022	3.19306	4.52909	4.84267	3.01116	3.06345	3.99152	1.82925	0.47874	0.74043	0.39136	1.35251
Peredibacter	0.06671	0.05923	0.06792	0.10276	0.05951	0.09674	0.06026	0.06078	0.02212	0.04625	0.09605	0.03406	0.03713	0.07156	0.01415	0.06798	0.07226	0.04134	0.02798	0.01679	0.03068	0.08142	0.0572	0.05989	0.04778	0.02923	0.01415	0.01983	0.00934	0.03939	0.05359	0.04609	0.01324	0.04282	0.0182	0.04417
Emticicia	0.02417	0.01065	0.02743	0.01696	0.02782	0.03029	0.02886	0.02229	0.03265	0.05915	0.01611	0.00851	0.04029	0.0412	0.01321	0.25686	0.10704	0.15365	0.04007	0.04351	0.09644	0.07837	0.11968	0.08663	0.01182	0.01817	0.01415	0.00926	0.01246	0.01671	0.01366	0.02575	0.0245	0.05726	0.01707	0.01443
Haloplasma	0	0.00666	0.00392	0	0	0	0.00255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00315	0.0024	0	0.00087	0.00455	0.00131
Thermoactinomyces	0.00483	0	0.00653	0	0	0	0	0	0	0.00303	0	0	0	0.00434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00132	0	0	0.00306
SM1A02	0.10149	0.16907	0.10646	0.12071	0.25235	0.11042	0.04924	0.04457	0.11272	0.09022	0.02975	0.10323	0.14693	0.0412	0.22167	0.03499	0.06678	0.06893	0.09827	0.04198	0.12098	0.1765	0.07568	0.04077	0.17827	0.21172	0.20564	0.08198	0.06071	0.17542	0.19335	0.21676	0.17018	0.40735	0.36862	0.17098
Urania-1B-19 marine sediment group	0.0116	0	0	0	0	0	0	0	0.01053	0	0	0	0	0	0.00377	0	0	0.00394	0	0	0	0	0	0	0	0	0.00544	0	0.01246	0	0.00946	0	0	0	0	0
I-8	0.0029	0	0	0.002	0	0	0	0.0081	0	0	0	0	0.01975	0	0.00472	0	0.00274	0.00492	0.00378	0.02977	0.03857	0.08064	0.176	0.11657	0.00308	0	0.00544	0	0	0.07399	0	0.00359	0.00397	0	0.00455	0.00262
Chloronema	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00152	0	0.00127	0	0	0	0	0	0	0	0	0	0	0	0
Herpetosiphon	0	0	0	0	0	0.00195	0	0	0	0.00379	0.00186	0.00426	0	0.00325	0	0.01199	0	0	0	0	0	0.00304	0	0.02294	0	0	0	0	0.00934	0	0	0	0	0	0	0
Candidatus Chloroploca	0	0	0	0.00499	0	0.00195	0.00424	0	0.00527	0.00682	0.00805	0	0.00474	0.00759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0024	0	0	0	0
