Genus	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	28	29	30	31	32	33	34	35	36	27
Rhodoferax	57	94	108	289	232	415	270	117	641	30	35	179	363	141	26	230	84	40	123	176	359	710	680	525	88	32	0	7	30	92	362	62	4	160	48	72
Sulfuritalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	18	1	0	0	0	0	12	0	0	0	0	16	6	0	0	0	437	0
Undibacterium	0	17	0	0	4	0	0	0	0	0	0	0	0	0	0	37	7	24	57	0	5	9	0	0	9	0	3	0	0	3	0	0	9	0	6	16
Acidibacter	1265	1248	2228	796	839	1845	3706	1294	2578	1484	2737	1093	372	793	2727	138	202	151	184	240	130	286	141	128	2745	4042	4162	3662	1934	2567	3798	3055	723	1694	344	3093
Peredibacter	69	89	104	103	62	99	71	30	21	61	155	32	47	66	15	68	79	42	37	22	35	107	65	94	93	37	13	15	6	33	51	77	20	98	16	101
Emticicia	25	16	42	17	29	31	34	11	31	78	26	8	51	38	14	257	117	156	53	57	110	103	136	136	23	23	13	7	8	14	13	43	37	131	15	33
Haloplasma	0	10	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	2	4	3
Thermoactinomyces	5	0	10	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7
SM1A02	105	254	163	121	263	113	58	22	107	119	48	97	186	38	235	35	73	70	130	55	138	232	86	64	347	268	189	62	39	147	184	362	257	932	324	391
Urania-1B-19 marine sediment group	12	0	0	0	0	0	0	0	10	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	5	0	8	0	9	0	0	0	0	0
I-8	3	0	0	2	0	0	0	4	0	0	0	0	25	0	5	0	3	5	5	39	44	106	200	183	6	0	5	0	0	62	0	6	6	0	4	6
Chloronema	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Herpetosiphon	0	0	0	0	0	2	0	0	0	5	3	4	0	3	0	12	0	0	0	0	0	4	0	36	0	0	0	0	6	0	0	0	0	0	0	0
Candidatus Chloroploca	0	0	0	5	0	2	5	0	5	9	13	0	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Oscillochloris	0	0	0	0	0	0	0	0	0	11	0	0	54	0	0	8	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFCH7168	11	0	15	0	0	0	9	0	0	9	0	0	29	0	5	2	12	8	10	8	0	6	8	3	44	3	4	0	0	0	0	16	22	0	11	3
Nitrolancea	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	6	0	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphaerobacter	13	8	23	6	6	8	17	5	14	7	13	5	0	3	8	0	0	0	0	0	0	0	0	0	2	0	3	9	0	3	4	0	5	0	6	5
Oleiharenicola	1102	693	1259	775	807	518	362	209	1027	2271	1073	1143	1941	1525	2717	1528	1305	1524	1568	2016	1508	1907	887	1629	3876	1427	1506	1166	1565	2714	2050	4879	1946	3158	2177	3133
Aquihabitans	250	63	121	248	93	104	30	51	193	597	36	57	7	287	124	40	48	54	11	14	24	93	38	83	67	143	23	0	74	0	0	210	29	55	16	127
Iamia	334	232	619	529	140	426	69	39	265	948	59	390	216	675	597	130	98	443	141	190	231	296	379	434	114	276	102	46	352	30	33	861	109	90	14	226
Coprothermobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
GW2011 GWC1 47 15	3	0	0	0	7	0	0	0	0	0	0	0	0	0	0	34	0	0	12	16	2	0	0	15	21	18	0	6	0	3	0	0	0	122	19	13
Anaerospora	0	9	0	0	0	0	0	0	0	0	0	0	21	0	0	15	381	231	322	0	3	0	4	6	0	8	0	11	0	3	0	0	23	25	179	9
Rubrobacter	0	2	0	0	0	0	0	0	0	3	0	0	0	0	3	4	12	33	11	0	12	0	0	10	0	8	0	0	0	0	0	14	3	6	0	8
Candidatus Omnitrophus	11	28	16	21	23	16	31	4	11	90	29	29	125	9	26	153	29	33	142	347	319	208	193	175	65	13	23	9	4	9	15	55	20	53	38	116
Candidatus Berkiella	232	299	195	325	121	120	312	102	235	294	306	135	37	97	19	44	37	45	22	97	25	44	24	104	14	38	10	3	0	0	2	9	35	31	3	33
Desulfuromonas	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	62	143	331	22	57	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
Roseimaritima	26	7	47	15	15	3	9	3	11	124	108	40	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ga0074140	16	10	3	6	0	0	0	0	4	11	16	6	65	0	0	17	12	0	0	29	5	10	12	0	20	2	6	19	15	39	27	82	51	53	12	32
Methanomassiliicoccus	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas	651	2173	1695	1625	2112	3340	1260	1067	1440	345	1008	1769	4720	1868	1009	1182	599	1138	1416	2182	1641	3850	5057	4396	1734	976	142	137	433	537	1133	751	219	1085	560	1494
Apibacter	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nakamurella	0	0	27	11	11	7	9	4	0	7	0	0	33	0	0	0	11	9	0	0	0	47	10	0	0	0	0	0	5	0	5	0	0	0	0	0
Limnobacter	161	62	79	21	133	347	103	116	87	958	79	122	6	27	0	74	44	169	1	19	8	48	9	251	549	402	15	10	0	7	28	513	12	48	13	13
MND1	594	1370	1556	1046	813	1395	1403	372	1318	736	1509	757	394	1247	1139	763	133	307	1008	957	974	677	178	431	1899	1835	997	907	815	1228	1394	896	2008	2575	863	3702
Chryseotalea	1432	415	518	1237	523	679	387	190	612	1559	863	303	1117	1085	1481	435	403	368	761	806	632	1081	774	995	3064	1669	1198	852	721	608	709	1251	2341	2811	1802	4126
Bryobacter	1467	1473	1642	1159	1216	795	1162	372	837	1881	1552	1028	310	789	810	184	381	74	225	181	301	222	205	383	1002	639	769	579	526	629	552	1308	568	1258	506	1046
Vicinamibacter	0	3	0	0	0	0	0	0	0	0	33	0	3	0	17	0	10	0	4	0	0	0	0	0	8	18	2	12	2	0	11	0	61	0	0	39
Pelotalea	0	47	0	10	0	0	0	0	7	0	2	0	712	0	0	901	1754	79	333	583	0	0	36	3	32	108	0	19	11	185	109	136	0	122	188	0
Candidatus Koribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	4	0	0	8	3	12	0	8	4	3
Teretinema	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gracilinema	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
Salinispira	0	5	6	0	0	0	7	0	0	0	26	11	0	0	6	0	0	7	11	0	0	9	3	0	20	10	6	6	5	21	37	0	75	54	34	72
Spirochaeta 2	7	199	62	17	79	11	83	4	9	156	363	114	0	32	20	23	29	5	0	0	2	3	4	0	93	16	15	68	5	28	82	19	257	104	298	176
Spirochaeta	14	17	16	25	39	21	138	32	14	42	72	45	0	20	2	0	0	0	0	2	0	0	0	0	0	3	0	3	0	19	0	0	0	0	0	0
Candidatus Nitrosoarchaeum	27	121	129	50	104	36	38	26	56	77	109	83	55	63	45	60	33	9	46	42	9	94	120	88	168	18	77	56	25	47	157	57	47	88	30	95
Acidiferrimicrobium	191	299	428	121	121	153	131	44	181	227	167	151	324	192	828	196	232	309	267	545	708	600	707	736	443	285	277	103	440	168	318	970	450	541	107	527
Pleomorphovibrio	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
type III	50	0	25	0	0	0	3	0	8	0	160	0	8	5	19	99	0	0	0	7	6	302	25	881	38	73	0	0	3	26	58	59	255	25	0	12
Nitrosarchaeum	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	7	0	0	8	12	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Nitrosotenuis	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	11	10	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Methanosarcina	19	4	14	26	0	12	36	11	31	9	13	10	0	46	3	0	0	3	0	0	0	0	0	0	0	0	3	22	0	3	8	8	0	0	3	0
Methanoculleus	0	0	0	4	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobacterium	0	0	0	0	0	0	0	2	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanothermobacter	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halomicroarcula	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haloquadratum	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halorubrum	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylophilus	30	76	34	86	26	78	38	89	43	24	23	58	317	14	0	391	83	186	161	755	315	626	499	495	56	29	17	0	0	15	40	15	14	20	0	58
Dechloromonas	14	32	13	9	28	24	13	7	10	14	21	16	647	8	18	574	1645	1602	5952	2501	87	33	239	141	56	100	48	97	7	57	120	31	24	40	68	54
Candidatus Solibacter	594	228	517	270	119	151	151	30	107	283	307	63	301	129	406	244	157	100	312	215	368	133	172	600	802	328	548	454	243	927	376	1005	381	848	807	464
Pedobacter	39	77	41	15	144	158	18	14	18	33	0	10	18	359	93	54	12	27	21	0	12	34	0	2	49	19	0	6	18	0	14	285	15	39	63	63
Lachnoclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Faecalibacterium	0	0	3	0	0	0	0	5	0	0	0	0	0	0	0	86	0	0	0	0	3	0	0	207	0	0	0	0	0	0	74	0	0	0	0	0
Pelotomaculum	0	3	7	5	0	0	0	0	0	0	5	7	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	5	2
Defluviitoga	0	0	2	0	3	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3
Cytophaga	0	30	11	5	20	45	0	4	7	8	33	26	16	0	20	118	37	96	37	29	24	283	33	24	34	7	3	26	19	33	47	26	17	72	13	88
Anoxybacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
Phycisphaera	0	4	0	0	0	0	0	0	0	0	0	3	8	3	4	16	0	89	28	0	0	0	0	21	0	0	0	0	35	2	38	0	0	3	0	8
Tepidisphaera	131	86	96	47	14	61	46	26	38	127	93	28	51	0	12	72	32	63	94	18	0	255	14	58	126	43	22	0	29	8	0	26	52	188	61	127
AKYG587	57	11	18	36	7	21	15	7	96	5	0	0	13	45	107	0	0	0	0	23	28	59	6	11	76	40	41	42	40	42	50	63	4	63	9	126
CL500-3	153	92	233	189	162	45	256	50	180	635	468	212	37	83	43	0	7	8	33	0	0	88	34	3	35	24	15	18	2	52	58	75	38	142	25	67
Mesomycoplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Nitrospira	191	118	80	25	77	66	371	62	201	35	121	93	599	6	11	545	141	97	811	2234	1530	457	1084	684	11	8	21	32	0	42	61	12	5	22	13	18
Parasediminibacterium	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sediminibacterium	41	186	67	43	50	529	101	212	170	120	285	315	105	191	26	51	27	23	32	25	52	138	64	49	120	189	17	62	76	46	64	201	50	902	23	281
Membranihabitans	3	0	0	0	7	4	0	8	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phaeodactylibacter	35	221	78	34	106	81	192	134	128	27	67	31	398	103	30	217	151	143	219	286	276	390	411	848	283	72	65	66	10	35	22	116	410	700	258	191
Lewinella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micavibrio	0	8	0	0	9	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dinghuibacter	8	18	55	16	48	57	122	40	4	0	13	95	86	13	19	59	70	128	82	35	50	349	38	57	24	27	0	0	11	16	49	0	18	39	16	201
Puia	27	0	0	0	24	7	31	22	11	14	8	15	38	9	96	12	20	0	26	133	14	555	30	0	48	8	182	213	52	200	139	193	29	59	9	216
Terrimonas	1599	1814	2271	2599	4313	2926	2271	1392	2675	2248	2576	1484	1476	2061	1008	795	1176	703	527	622	459	1161	833	1326	4507	3286	1684	2050	868	1260	1117	2643	4080	6095	1175	4492
Niastella	119	24	278	130	45	150	265	154	208	0	35	62	91	273	26	82	55	167	187	1477	255	82	171	168	61	31	21	108	21	48	70	40	120	126	27	15
Haliscomenobacter	0	68	142	0	69	6	14	4	4	8	6	9	98	2	18	47	40	0	59	32	9	45	21	41	10	3	0	0	0	19	7	0	0	4	0	8
Parasegetibacter	6	4	0	7	7	0	0	0	10	7	4	0	5	0	0	0	45	18	15	10	34	108	8	6	0	0	0	0	0	0	0	0	0	0	0	22
OLB8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
Ferruginibacter	226	593	341	285	258	89	151	315	429	826	662	192	430	380	306	55	65	127	88	64	39	269	278	264	364	243	403	528	210	88	208	915	764	221	119	827
Aurantisolimonas	5	32	16	5	11	17	8	10	0	6	0	26	459	15	0	1135	412	300	289	477	91	350	532	95	53	23	12	0	48	47	27	11	6	70	0	321
