Genus	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
Bacteroides	0	0	0	0	0	0	16.2002864160337	0	0	8.23718647411858	0	0	0	4.08352959411164	0	0	0	0	46.5810840864387	0	0	0	0	0	0	10.1961114672491	0	0	0	0	10.8020007493251	0	0	0	0	0
Lachnospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.5861495252113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytophaga	0	0	0	0	4.95503155340975	0	0	0	0	0	0	0	0	0	0	70.140674713944	0	33.2324114667328	19.4087850360161	12.1195711192571	0	74.8806067160425	0	0	0	0	0	0	18.9568515948351	9.63972857995153	0	8.9344064695738	0	0	4.69304162849793	6.36413949333392
SM1A02	6.53557189695804	41.0303482662221	3.29301018726582	27.3969730165779	26.4268349515187	5.59101928662519	0	0	0	0	0	12.5988729333539	27.1523557593002	0	0	0	0	0	69.871626129658	26.1036916414769	17.656264495128	11.4321536971057	0	8.71283450728926	56.9621877081405	22.6580254827759	6.23302481649583	0	5.41624331281002	0	36.0066691644169	4.96355914976322	12.4919304765263	27.1386855457096	44.1145913078805	109.099534171439
I-8	0	0	0	0	0	0	0	0	0	0	0	0	13.5761778796501	0	0	5.845056226162	0	0	0	0	0	18.8630536002244	0	10.1649735918375	0	0	0	0	0	0	30.6056687897544	0	0	0	0	0
Sphaerobacter	0	0	0	0	0	0	0	0	0	0	0	4.7245773500077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Omnitrophus	4.35704793130536	0	0	0	0	0	0	0	0	36.0376908242688	0	0	16.2914134555801	0	4.67668810128476	39.7463823379016	0	0	58.2263551080483	69.9206026110989	60.535763983296	15.4334074910927	49.4999247940862	30.4949207755124	9.79037601233665	0	16.2058645228892	0	0	3.06718636634822	0	6.94898280966851	4.68447392869735	5.75669087333234	8.44747493129627	0
Aquihabitans	21.7852396565268	0	0	93.7264866356614	0	12.4244873036115	0	0	56.5651720569287	158.565839626783	0	0	0	66.9698853434309	24.3187781266808	0	0	0	0	0	0	0	0	28.3167121486901	0	32.854136950025	0	0	0	15.3359318317411	0	0	9.36894785739469	0	0	0
Teretinema	0	0	0	0	0	0	6.2308793907822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salinispira	0	0	0	0	0	0	0	0	0	0	0	5.51200690834231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.61082887520668	0	0	20.8469484290055	0	20.5596102619012	0	28.1840463276216
Spirochaeta 2	0	61.5455223993331	15.3673808739072	7.93070271532519	21.4718033981089	4.34857055626404	38.6314522228496	12.4369848319726	0	44.2748772983874	286.750581410938	32.2846118917193	0	0	4.67668810128476	18.7041799237184	0	8.91601283253807	0	0	0	0	0	0	22.2508545734924	0	31.1651240824791	0	23.4703876888434	1.31450844272066	34.2063357061961	34.7449140483425	0	64.9683684276078	26.2810331195884	130.010278220964
Spirochaeta	8.71409586261072	0	0	0	0	0	87.2323114709508	17.7671211885323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4026676657668	0	0	0	0	0
Methanosarcina	0	0	0	0	0	0	0	0	0	0	19.4879035910346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paludibaculum	85.6886093156721	82.0606965324442	70.2508839950041	93.7264866356614	161.864364078052	55.9101928662519	118.386708424862	57.4470251762543	162.317450250317	344.932183603715	203.230994592218	0	87.7926169550707	54.719296561096	6.54736334179867	0	0	0	0	0	64.319249232252	80.5966835645954	0	0	70.3127004522359	60.043767529356	0	34.3402465145908	33.4001670956618	17.9649487171824	113.421007867913	0	43.7217566678419	0	28.1582497709876	73.6421855657211
Vulgatibacter	17.4281917252214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80541443760334	0	0	0	0	13.9805349780928	4.69304162849793	0
Phycisphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63341183764466	0	0	0	22.6953053919151	0	0	0	0	0	8.71283450728926	0	0	0	0	0	10.0778980608584	0	10.9198301294791	0	0	0	0
