Genus	10	11	1	12	13	14	15	16	17	18	19	20	21	22	2	23	24	25	26	27	28	29	30	31	32	33	3	34	35	36	4	5	6	7	8	9
Bacteroides	0.0269	0	0	0	0	0.01815	0	0	0	0	0.08645	0	0	0	0	0	0	0	0.0387	0	0	0	0	0.02711	0	0	0	0	0	0	0	0	0	0.03521	0	0
Lachnospira	0	0	0	0	0	0	0	0	0	0	0.02522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytophaga	0	0	0	0	0	0	0	0.24869	0	0.11534	0.03602	0.03856	0	0.32224	0	0	0	0	0	0	0	0.07216	0.05294	0	0.03628	0	0	0	0.02038	0.01983	0	0.01532	0	0	0	0
SM1A02	0	0	0.02236	0.05115	0.08926	0	0	0	0	0	0.12968	0.08304	0.04743	0.0492	0.1219	0	0.02651	0.20577	0.086	0.02398	0	0.02062	0	0.09036	0.02015	0.04063	0.0103	0.08905	0.1916	0.33994	0.09994	0.08172	0.0275	0	0	0
I-8	0	0	0	0	0.04463	0	0	0.02072	0	0	0	0	0	0.08117	0	0	0.03093	0	0	0	0	0	0	0.07681	0	0	0	0	0	0	0	0	0	0	0	0
Sphaerobacter	0	0	0	0.01918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Omnitrophus	0.11768	0	0.01491	0	0.05355	0	0.02099	0.14092	0	0	0.10806	0.22243	0.1626	0.06642	0	0.13338	0.0928	0.03537	0	0.06235	0	0	0.01684	0	0.02822	0.01524	0	0.01889	0.03669	0	0	0	0	0	0	0
Aquihabitans	0.51779	0	0.07455	0	0	0.29764	0.10909	0	0	0	0	0	0	0	0	0	0.08617	0	0.1247	0	0	0	0.08422	0	0	0.03047	0	0	0	0	0.34193	0	0.06112	0	0	0.2056
Teretinema	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01354	0	0
Salinispira	0	0	0	0.02237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01374	0	0	0.08465	0	0	0.06746	0	0.08782	0	0	0	0	0	0
Spirochaeta 2	0.14458	0.41405	0	0.13105	0	0	0.02098	0.06632	0	0.03095	0	0	0	0	0.18285	0	0	0.08038	0	0.11991	0	0.08934	0.00722	0.08584	0.14107	0	0.04806	0.21318	0.11415	0.4051	0.02893	0.06639	0.02139	0.08397	0.06449	0
Spirochaeta	0	0	0.02982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03615	0	0	0	0	0	0	0	0	0	0.18961	0.09213	0
Methanosarcina	0	0.02814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paludibaculum	1.12635	0.29346	0.29322	0	0.28858	0.24319	0.02937	0	0	0	0	0	0.17276	0.34684	0.2438	0	0	0.25399	0.22791	0	0.13712	0.12713	0.09865	0.28464	0	0.14218	0.2197	0	0.1223	0.22946	0.34192	0.50051	0.27504	0.25734	0.29787	0.58997
Vulgatibacter	0	0	0.05964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00687	0	0	0	0	0	0.04587	0.02038	0	0	0	0	0	0	0
Phycisphaera	0	0	0	0	0	0.00726	0	0	0	0.07877	0	0	0	0	0	0	0.02651	0	0	0	0	0	0.05534	0	0.04434	0	0	0	0	0	0	0	0	0	0	0
Tepidisphaera	0	0	0.10188	0.03836	0	0	0	0	0	0	0.06124	0	0	0.15743	0	0	0.0243	0	0	0	0	0	0	0	0	0.02285	0.05149	0	0	0	0	0.05363	0	0	0.03992	0
AKYG587	0	0	0.07952	0	0	0.08348	0	0	0	0	0	0	0	0	0	0	0	0	0.0215	0	0	0	0	0	0	0	0	0	0	0.0255	0	0	0	0	0	0.11174
CL500-3	1.31128	0.58691	0.25843	0.49863	0.05355	0.29764	0.14265	0	0	0	0	0	0	0.13529	0.10971	0	0	0.0418	0	0	0	0	0.04812	0.07229	0.13302	0.09902	0.35015	0.08635	0.11822	0	0.5313	0.53115	0.12224	0.47403	0.21189	0.37097
