Genus	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	28	29	30	31	32	33	34	35	36	27
SM1A02	0.11675	0.19813	0.1034	0.16153	0.26939	0.12191	0.06225	0.06362	0.10929	0.0933	0.03229	0.11612	0.1729	0.0867	0.26326	0.07936	0.12512	0.08015	0.16492	0.12505	0.16915	0.18404	0.08089	0.07576	0.2212	0.2585	0.25123	0.12736	0.14023	0.18353	0.21485	0.2114	0.18643	0.41779	0.42317	0.17292
Urania-1B-19 marine sediment group	0.00743	0	0.00073	0	0	0.00189	0.0021	0	0.00745	0	0	0	0	0	0.00356	0	0	0	0	0	0	0	0	0	0	0	0.00662	0.00914	0.00827	0	0.00295	0.00202	0	0.00078	0	0
AKYG587	0.04635	0.01595	0.01276	0.03461	0.01425	0.0249	0.0111	0.01607	0.08392	0.00175	0.00161	0.01003	0.01242	0.0605	0.08639	0.00466	0.01816	0.00382	0.00627	0.01775	0.02549	0.06674	0.00702	0.00927	0.04516	0.04042	0.06404	0.06263	0.07323	0.0351	0.06753	0.03445	0.00242	0.04598	0.03222	0.05939
I-8	0.00587	0	0	0.00404	0	0.00206	0	0.00171	0	0.00135	0	0	0.03693	0	0.00678	0.00551	0.00414	0	0.00836	0.03533	0.05182	0.11854	0.17088	0.12209	0	0.00322	0.00245	0.00133	0.00531	0.0483	0	0.00356	0.00216	0	0.0082	0
Ferruginibacter	0.1799	0.32145	0.17789	0.21545	0.18785	0.06129	0.09135	0.59269	0.31208	0.50843	0.3042	0.16333	0.25128	0.26488	0.23497	0.05544	0.05036	0.1051	0.04122	0.02963	0.01654	0.19948	0.20039	0.1515	0.1786	0.15745	0.38176	0.42018	0.32444	0.07468	0.16907	0.39636	0.43196	0.08192	0.10363	0.29037
Rhodoferax	0.04908	0.08807	0.05118	0.24712	0.16829	0.37708	0.18795	0.19769	0.56685	0.03083	0.00633	0.19227	0.28338	0.15377	0.0217	0.25733	0.06933	0.0393	0.1131	0.11585	0.26485	0.53191	0.54608	0.31157	0.03944	0.04028	0.0135	0.01275	0.04634	0.13382	0.33179	0.03253	0.01423	0.06025	0.06122	0
Undibacterium	0	0.00951	0.00059	0	0	0	0	0	0	0	0	0	0.00452	0	0	0.03661	0.0153	0.02582	0.04346	0	0.0076	0.01026	0	0	0.00617	0	0	0	0	0.00942	0	0.00048	0.00585	0	0.0088	0
mle1-7	0	0.00951	0.01056	0.07773	0.11142	0.12072	0.19964	0.09337	0.11798	0.00189	0.00149	0.00512	0.02113	0.0891	0.00254	0.11025	0.07889	0.0348	0.16024	0.10529	0.17625	0.01008	0.00661	0.00588	0.00143	0.00029	0.00196	0.00248	0.00177	0.00331	0.00522	0.00174	0	0	0.0018	0.00264
Fimbriiglobus	0.12399	0.08022	0.19696	0.04515	0.08292	0.09945	0.05355	0.1563	0.06033	0.10662	0.0795	0.08088	0.38357	0.11423	0.25819	0.64736	0.85945	0.22005	0.72827	0.5774	0.80806	0.86702	0.42759	0.46716	0.23367	0.17357	0.15188	0.35775	0.13255	0.06573	0.245	0.15071	0.159	0.22502	0.09542	0.47646
