Genus	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	28	29	30	31	32	33	34	35	36	27
SM1A02	597	1541	705	719	1985	710	415	186	616	693	260	590	1072	500	1554	375	785	357	1340	747	1002	1023	392	425	2008	1765	1024	669	475	779	948	2197	1467	4279	2115	131
Urania-1B-19 marine sediment group	38	0	5	0	0	11	14	0	42	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	27	48	28	0	13	21	0	8	0	0
AKYG587	237	124	87	154	105	145	74	47	473	13	13	51	77	349	510	22	114	17	51	106	151	371	34	52	410	276	261	329	248	149	298	358	19	471	161	45
I-8	30	0	0	18	0	12	0	5	0	10	0	0	229	0	40	26	26	0	68	211	307	659	828	685	0	22	10	7	18	205	0	37	17	0	41	0
Ferruginibacter	920	2500	1213	959	1384	357	609	1733	1759	3776	2449	830	1558	1528	1387	262	316	468	335	177	98	1109	971	850	1621	1075	1556	2207	1099	317	746	4118	3399	839	518	220
Rhodoferax	251	685	349	1100	1240	2196	1253	578	3195	229	51	977	1757	887	128	1216	435	175	919	692	1569	2957	2646	1748	358	275	55	67	157	568	1464	338	112	617	306	0
Undibacterium	0	74	4	0	0	0	0	0	0	0	0	0	28	0	0	173	96	115	353	0	45	57	0	0	56	0	0	0	0	40	0	5	46	0	44	0
mle1-7	0	74	72	346	821	703	1331	273	665	14	12	26	131	514	15	521	495	155	1302	629	1044	56	32	33	13	2	8	13	6	14	23	18	0	0	9	2
Fimbriiglobus	634	624	1343	201	611	579	357	457	340	792	640	411	2378	659	1524	3059	5393	980	5917	3449	4787	4820	2072	2621	2121	1185	619	1879	449	279	1081	1566	1251	2305	477	361
MND1	3216	7106	7169	4906	5357	8882	8107	2210	7076	3987	7009	3979	2334	7907	6198	3909	1008	1567	6506	4539	4989	3300	1023	1653	9208	9747	4463	7701	4338	7708	6258	7565	10625	11283	4413	1292
Acidibacter	5158	5322	8384	3040	5290	8297	16200	5941	11221	6601	11646	4794	1421	3904	11849	403	1095	441	856	890	423	882	456	232	10618	17657	15840	20027	8248	11916	15153	14956	3015	6100	1636	882
Limnobacter	757	298	305	92	764	1808	515	628	497	5050	412	597	13	166	9	474	285	585	0	87	34	245	3	1025	2857	2294	70	33	20	35	141	2961	28	185	99	0
CL500-3	1281	735	1893	1971	3589	430	2164	520	1687	8838	3771	2369	233	1357	471	73	315	27	439	0	48	598	197	34	381	187	118	243	155	286	657	1169	492	999	235	61
Leptothrix	0	295	45	0	192	683	199	428	357	86	45	810	2876	178	64	1205	2511	599	3757	2262	3144	1732	400	141	173	111	91	57	24	151	5	1	46	76	33	0
Peredibacter	346	426	435	363	435	647	315	216	440	360	605	240	157	422	81	282	367	152	208	108	221	379	247	310	430	127	121	148	123	78	152	428	97	324	58	42
Rhodocytophaga	0	0	2	0	0	0	0	0	0	5	0	0	56	0	0	0	0	0	21	28	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0
Spirosoma	0	0	0	0	0	0	0	0	0	25	0	0	7	0	0	0	23	51	5	4	226	85	166	141	16	0	0	4	0	0	0	0	14	0	72	0
Runella	14	10	31	10	47	28	0	26	0	51	13	12	54	8	0	73	65	47	140	108	216	142	50	227	12	0	0	0	0	0	0	0	0	7	0	0
Cytophaga	15	130	78	14	123	133	10	18	7	33	104	106	31	28	104	432	137	417	212	109	0	940	61	79	123	26	0	143	84	145	137	102	30	286	80	20
Sporocytophaga	37	66	98	15	6	35	97	0	17	21	78	0	177	16	0	116	20	56	133	159	52	185	25	0	123	19	0	30	0	1	60	43	66	31	34	0
Hydrogenispora	313	679	490	323	461	140	1242	357	402	440	1933	689	28	582	95	3	4	11	3	0	11	9	9	5	502	361	55	786	27	173	488	205	601	163	704	3
Nitrolancea	75	0	47	16	9	17	17	0	35	140	17	0	0	50	0	13	0	35	7	52	5	9	0	0	0	0	0	3	0	0	0	10	0	0	0	0
